original data,score
обия (тредекафобия, трискайдекафобия) боязнь числа 13 (тринадцать) трискайдекафобия (тредекафобия, трискадекафобия) боязнь числа 13 (тринадцать) трихофобия боязнь попадания волос в пищу, на одежду, на поверхность тела тропофобия боязнь переезда, перемен туберкулезофобия (фтизиофобия) боязнь заболеть туберкулезом туннелефобия боязнь следования на транспорте или пешком через туннель У уранофобия боязнь рая, смотреть в небо урофобия боязнь мочиться Ф фагофобия боязнь подавиться пищей фазмофобия (богифобия) боязнь призраков, духов, дьяволов, пугал фалакрофобия (пеладофобия) боязнь облысения фармакофобия боязнь лечиться, принимать лекарства фасмофобия боязнь привидений фебрифобия боязнь заболеть гриппом фенгофобия (фотофобия) боязнь света филемафобия боязнь целоваться философобия боязнь философии филофобия боязнь влюбленности фобиофобия (фобофобия) боязнь фобий (страхов), появления симптомов страха фонофобия (акустикофобия) боязнь звуков, разговора по телефону фотоауглифобия боязнь яркого света фотофобия (фенгофобия) боязнь света франкофобия (галифобия, галлофобия) боязнь всего французского фригофобия (психрофобия, чеймофобия, криофобия) боязнь холода фронемофобия боязнь думать фтизиофобия (туберкулезофобия) боязнь заболеть туберкулезом фтириофобия боязнь вшей Х хайрофобия боязнь появления чувства радости, веселья в неподобающей обстановке, например, на *похоронах харпаксофобия боязнь разбойников, грабителей хаэтофобия (гипертрихофобия, каэтофобия) боязнь волос хепенгиофобия (гипенгиофобия, гипегиафобия) боязнь ответственности херофобия боязнь веселья хилофобия (ксилофобия, никтогилофобия, гилофобия) боязнь леса, темных зарослей хионофобия (кионофобия) боязнь снега хирофобия боязнь рук хомиклофобия (гомихлофобия) боязнь тумана хорофобия (кхорофобия) боязнь заболеть холерой, танцев хрематофобия (хрометофобия) боязнь денег хроматофобия боязнь какого-либо цвета и окрашенных в него предметов хрометофобия (хрематофобия) боязнь денег хромофобия боязнь цвета вообще хронометрофобия (хронофобия) боязнь часов, времени хронофобия (хронометрофобия) боязнь часов, времени Ц ценофобия боязнь пустых комнат цибофобия боязнь пищи циклофобия боязнь велосипедов Ч чеймофобия (психрофобия, фригофобия, криофобия) боязнь холода Э эвфобия боязнь хороших новостей эйзоптрофобия (катоптрофобия, спектрофобия) боязнь зеркал эйкофобия боязнь окрестностей дома эйсоптрофобия боязнь собственного отражения в зеркале эйхофобия боязнь произносить или выслушивать добрые пожелания эквинофобия (гиппофобия) боязнь лошадей эккесиофобия (экклезиофобия) боязнь церквей экклезиофобия (эккесиофобия) боязнь церквей эклуофобия (никтофобия, ахлуофобия, скотофобия) боязнь темноты, ночи экофобия боязнь своего дома элевтерофобия (элейтерофобия) боязнь свободы, освобождения элейтерофобия (элевтерофобия) боязнь свободы, освобождения электрофобия боязнь электричества элурофобия (аклюрофобия, галеофобия, гатофобия) боязнь кошек, котов эметофобия (вомитофобия) боязнь рвоты эмихофобия боязнь царапин энетофобия (айхмофобия) боязнь булавок, колющих предметов эниссофобия боязнь критики энозиофобия боязнь согрешить энохлофобия боязнь толпы энтомофобия (инсектофобия) боязнь насекомых эозофобия боязнь дня, рассвета, солнечного света эпистаксиофобия (эпистаксофобия) боязнь насморка эпистаксофобия (эпистаксиофобия) боязнь насморка эпистемофобия (офидиофобия) боязнь змей см. офидиофобия эргазиофобия боязнь оперировать (у врачей-хирургов) эргофобия боязнь работать, совершать какие-либо действия эрейтофобия (эритофобия, эритрофобия, руброфобия) боязнь красного цвета, покраснеть эремифобия (ануптафобия, аутофобия, изолофобия, монофобия, эремофобия) боязнь одиночества, *безбрачия эритрофобия (эритофобия, эрейтофобия, руброфобия) боязнь красного цвета, покраснеть эротофобия (коллофобия, колпофобия, коитофобия) боязнь любви, полового акта, женских гениталий эфебифобия боязнь подростков Ю юдофобия боязнь всего еврейского Я японофобия боязнь всего японского ятрофобия боязнь врача Источник: Википедия УжОс! Нашли свою? И не одну?!. Весёлого вечера!)",-1
"Авиа и артиллерийские удары были нанесены по укрытиям террористов и их скоплениям на автодороге Алеппо Даиль, в районе Центральной тюрьмы провинции Алеппо, в районах Шейх-Максуд, Дувар Аль-Джанудия, Хандарат и на дороге Алеппо Идлеб. В провинции Идлеб в районе Ан-Нейраб армейскими подразделениями были атакованы лагеря и скопления боевиков Джебхат Ан-Нусры, а также принадлежавшие им склады оружия и боеприпасов. В результате авиа налётов и ударов сирийской артиллерии были ликвидированы 110 членов бандформирований, принадлежавших этой террористической организации. Среди них гражданин Голландии, носивший имя Юсеф иорданцы Аднан Абу Рае, Салех Хамуди, Абедль-Салям Каммат, Сауд Абу Халяка, Талхат Абу Хасан, Аллюш Аль-Халяф подданные Саудовской Аравии Самер Аль-Джинди, Джума Аль-Сулейман, Мехди Сауд, Мехеддин Тейба, Самир Аль-Хасан Хамеди, Хсейн Бакри, Наим Аль-Мефлех, Хури Аль-Хсейн граждане Египта Айман Фатух, Сулейман Осман, Абед Аль-Каттан ливиец Абдель-Фаттах Шаабан и ещё два иностранных главаря отрядов Джебхат Ан-Нусра Хсейн Абдель-Рахман Аль-Саид и Юсеф Рамадан. ВВС САР и артиллерийские подразделения подвергли атакам и уничтожили ряд укрытий боевиков,их автомобили с ДШК и зенитные самоходные установки Шилка в районе военного аэродрома Абу Духур, в населённых пунктах Кафр Тахарим, Маарет Ан-Нуман, Джиср Аш-Шугур, Сермин, Биннеш и Тафтаназ. В городе Биннеш группировка Джебхат Ан-Нусры атаковала автомобиль с боевиками ССА, убив всех находившихся внутри него террористов. Лагеря бандформирований Джебхат Ан-Нусры подверглись налётам военной авиации и артиллерийским ударам в городах Ракка и Табка.",0
"Президент Сирии также ответил на обвинения в адрес его администрации о применении химического оружия в ходе конфликта в Сирии. США, Франция и Великобритания заявили, что мы использовали химическое оружие в некоторых провинциях страны. Если бы они получили какие-либо доказательства этому, то с радостью оповестили бы весь мир. Однако нет данных, из которых вытекали бы такие выводы. Их заявления смехотворны. В Алеппо химическое оружие использовали террористические группировки. Мы направили послание в Организацию Объединенных Наций с просьбой провести официальное расследование инцидента.",-1
"Во двор въехали две лошади. Это были сыновья Тараса Бульбы. Трактор мчался по полю, слегка попахивая... Лермонтов родился у бабушки в деревне, когда его родители жили в Петербурге. Чацкий вышел через задний проход и подпёрнул дверь палкой. Герасим налил Муме щей. Отец Чацкого умер в детстве.",0
"Две мины упали на дом инвалидов, еще две - на жилые здания в квартале Масакен Барзе. Социальные сети мятежников сообщают о гибели в Сирии Абдуллы Мутлак аль-Мутлак отпрыска важного саудовского семейства. Абдулла родственник важных саудовских теологов, а его дядюшка -профессор сравнительной юриспруденции в университете Имама Мухаммеда бин Сауда. Абдулла был убит в понедельник в боях в районе города Изза, провинция Дераа. Он воевал на стороне группировки Исламское Государство Ирак и Сирия. Его отец, генерал-майор Абдулла аль-Мутлак аль-Досари глава союза офицеров саудовской национальной гвардии.",0
"Корреспондент RT Мария Финошина, совершившая рискованное путешествие в стан боевиков, представляет репортаж из приграничного района с Ливаном: В Сирии погиб генерал-майор Джаами Джаами, возглавлявший военную разведку одной из провинций. Генерал-майор Джаами Джаами был убит при исполнении своих государственных обязанностей по защите Сирии и сирийского народа, - говорится в сообщении, переданном государственным сирийским телевидением. Генерал входил в ближайшее окружение президента Башара Асада. В 2006 году он был включён в чёрный список министерства финансов США за поддержку террористических группировок. Сирийские власти не сообщают подробностей гибели высокопоставленного военного и даже точного времени его смерти. По сообщениям некоторых информагентств, генерала застрелил снайпер, по другим сведениям, он погиб в бою. Известно лишь точно, что убийство генерала произошло в ходе боёв в провинции Дейр-эз-Зоре в окрестностях одноимённого города.",0
"Великий писатель беспрестанно доказывал несостоятельность утопий разума, несоответствие любых рассудочных построений таинственной и беспредельной сущности человека. Достоевский очень глубоко выразил кризис модерна ещё до того, как он перешел в острую фазу. Прошедший через страсть по модерну (западничество сороковых), Достоевский со свойственной ему гениальностью понял, что модерный мир ведет человека к краю бездны. После смерти писателя его слава и влияние постоянно росли — углублялся и обострялся кризис модерна, выразителем которого был Достоевский. Разум бунтует против веры, личность бунтует против разума, смещаются представления о добре и зле, дьявол с богом борется — мир разорван, человек разорван. В Европе роль провозвестника кризиса взял на себя Ф. Ницше, который в рефлексивной форме выразил то кризисное мироощущение, которое художественно отразил Достоевский.",2
"Намерение Уатта уехать в Россию вызвало переполох. Поэт Эразм Дарвин, дед создателя теории эволюции Чарльза Дарвина, пишет тогда Уатту: О Боже, как я был напуган, когда услышал, что русский медведь зацепил Вас своей громадной лапой и тянет в Россию! Умоляю не ездить, если только это возможно Я надеюсь, что Ваша огненная машина оставит Вас здесь. Уатт в итоге Россию не поехал и создал, совместно с Мэттью Болтоном всемирно известную потом компанию Baulton and Watt. Российской инженерной школе не повезло тогда и ещё один раз. В 1763 году, задолго до английских опытов с увеличением числа цилиндров, первая в мире двухцилиндровая вакуумная паровая машина была спроектирована механиком И. И. Ползуновым и построена им же в 1764 году для приведения в действие воздуходувных мехов на Барнаульских Колывано-Воскресенских заводах. Однако, по злому року, сам Ползунов умер от чахотки за неделю до пробного пуска своей машины, по всей видимости, от напряжения постоянной работы над своим революционным механизмом.",-1
"Вот такой он был, железный Строитель Норильска. Именно на таких людях держался весь советский атомный проект. Академик Игорь Васильевич Курчатов умер 7 февраля 1960 года. Но в последние годы своей жизни он успел подарить миру ещё две вещи, каждая из которых была гораздо важнее всех ядерных и термоядерных бомб, которые были им разработаны. Это были ядерная станция и идея управляемой термоядерной реакции. После испытания первой атомной бомбы академик Курчатов на встречах с профессором Доллежалем, который был одним из проектировщиков злополучной, но архиважной для страны Аннушки, и с профессором Фейнбергом, обсудил возможность создания атомной электростанции, ориентируясь на опыт конструирования и эксплуатации первых военных реакторов. Страна испытывала недостаток в электроэнергии и идея использовать для её производства возможности военных по наработке ядерного топлива просто-таки витала в воздухе.",-1
"Март. С. 105).К этой статье с иудейского сайта стоит добавить, что подобных ей ныне публикуется множество. И в некоторых более откровенно разъясняется, что в царстве мошиаха народы міра будут уничтожены. И вообще православным хорошо известно из Священного писания и святоотеческого церковного учения, каковы будут признаки и деяния царя-мошиаха. Хотя нам и не дано знать точную дату его воцарения, нам заповедано знать признаки этого времени, распространять это знание, а признаки явно множатся.Поэтому надо ли нам удивляться тому, что столь экстремистская человеконенавистническая сатанистская религия получила и в РФ статус традиционной, что попытки сопротивления ей все чаще караются по ст.",0
"1965 1970 годы. Специальный патрон 7,62/5,6 мм Salvo Squeezebore с тремя латунными пулями. Предназначен для особого оружия: задняя часть ствола у него нарезная цилиндрическая, а передняя коническая, гладкая. В нарезной части все три пули движутся под действием пороховых газов как единое целое, но в коническом его участке пули обжимаются, задние при этом вытесняются из передних и из ствола вылетают уже порознь. Из-за обжатия пуль калибр указывается через дробь, поскольку вначале пуля имеет калибр 7,62 мм, а в процессе движения по каналу ствола он уменьшается до 5,6 мм. И вот такие трансформеры придумали еще в 1970-е годы! Как ты знаешь из фильмов со Шварценеггером, винтовочная боевая пуля сохраняет убойную силу на дистанции в несколько километров. При промахе по мишени или ее пробитии (гарантированном на дистанции тренировочной стрельбы в полторы сотни метров) пуля может натворить бед.",0
"С одной стороны боевики захватили большую часть его кварталов, с другой - перестрелки на восточных окраинах еще продолжались, а по позициям бандгрупп наносила удары авиация. Сирийские ВВС активно бомбили базы бандитов в селении Аль-Хута в районе города Анджара, в районе Хрейтана, Анадана, Кафр-Даиля. Бандформирования вступили в Хан аль-Ассаль с севера, северо-запада и юго-запада. Большая часть блокпостов и снайперских позиций правительственных войск была подавлена. Продвижение вперед у боевиков было стремительным. Армейские подразделения начали отходить к востоку. Одновременно ожесточенные бои отмечены в соседнем районе Аль-Рашидин, а также в западном пригороде Аль-Мансура.",1
"Начальству колонии удобна контролируемая дедовщина как способ заставить осужденных тотально подчиняться режиму бесправия. На промзоне царит угрожающе нервная атмосфера. Вечно невысыпающиеся и измученные бесконечной погоней за выполнением нечеловечески огромной нормы выработки зэчки готовы сорваться, орать в голос, драться из-за ничтожнейшего повода. Совсем недавно юной девушке пробили ножницами голову из-за того, что она вовремя не отдала брюки. Другая на днях пыталась себе проткнуть ножовкой живот. Ее остановили. Заставшие в ИК-14 2010-й, год пожаров и дыма, рассказывали о том, что в то время как пожар подбирался к стенам колонии, осужденные продолжали выходить на промзону и давать норму.",-1
"Убито большое количество иностранных бандитов, в том числе с российского Северного Кавказа. Близ Дамаска разворачивается одно из решающих сражений сирийской войны. Оно характеризуется не только столкновениями между вооруженными группировками оппозиции и сирийской армией, но и широким применением иракской тактики Аль-Каиды террора против гражданских. Примерами служат два взрыва смертников, устроенные Джабхат ан-Нусра в городах Ассал аль-Варад и Шибани в долине Барада в последний день сентября. В результате погибли десятки ни в чем не повинных людей. По информации из нескольких источников, Джабхат ан-Нусра, Лива аль-Ислам и несколько мене значительных групп сумели сосредоточить в районе западный Каламун, близ Набека и Ябруда и Ассаль аль-Варуд около 15 тысяч боевиков.",-1
"На самом деле в боях за Маалула 4-6 сентября ведущую роль играли боевики-исламисты Катибе аль-Хадраа (Зеленый батальон террористической группировки Джебхат ан-Нусра). Также оппозиционеры постарались снять с себя ответственность за разрушение как минимум одного христианского храма и бегство местных жителей. В заявлении говорится, что повстанцы обязуются защищать всех сирийцев, не зависимо от их религии, расы, конфессии или политических взглядов, и что ни одна церковь якобы не пострадала. На деле боевики исламистского батальона вели минометный огонь прямо по христианским храмам и нанесли серьезные повреждения одному из них. Боевики ССА действительно были в Маалула. По крайней мере в одном видеоролике, размещенном в сети, фигурирует символика одного из батальонов свободной армии. Однако все подробности боевых действий в данном населенном пункте приводят прежде всего исламисты, обстреливавшие его из минометов и занявшие 4-5 сентября центральную площадь.",-1
"Параметры каждого соглашения могут варьироваться в зависимости от особенностей того или иного государства. Карта и данные под спойлером из вики. Свежие. Соглашения ЕС Албания соглашение о стабилизации и ассоциации (2009) Алжир соглашение об ассоциации (2005) Андорра Европейский Таможенный Союз (1991) Босния и Герцеговина соглашение о стабилизации и ассоциации (подписано в 2008 году, в ожидании вступления в силу) Грузия соглашение об ассоциации (2013) Египет соглашение об ассоциации (2004) Израиль соглашение об ассоциации (2000) Иордания соглашение об ассоциации (2002) Исландия ЕЭЗ (1994) Канада соглашение об ассоциации (2013) Ливан соглашение об ассоциации (2006) Лихтенштейн ЕЭЗ (1994) Республика Македония Марокко соглашение об ассоциации (2000) Мексика соглашение об ассоциации (2000) Норвегия ЕЭЗ (1994) Палестинская автономия временное соглашение об ассоциации (1997) Сан-Марино Европейский таможенный союз (2002) Сербия соглашение о стабилизации и ассоциации (2011) Тунис соглашение об ассоциации (1998) Турция соглашение о таможенном союзе ЕС и Турции (1996) Фарерские острова как автономный субъект Дании (1997) Черногория соглашение о стабилизации и ассоциации (2010) Чили соглашение об ассоциации (2003) Швейцария соглашение о свободной торговле (1973) Южная Африка соглашение об ассоциации (2000) Южная Корея соглашение о свободной торговле (2011) В настоящее время на стадии переговоров Колумбия соглашение об ассоциации Молдавия соглашение об ассоциации и расширенное соглашение о свободной торговле (парафирование договора на Вильнюсском саммите в ноябре 2013) Эквадор соглашение об ассоциации Перу соглашение об ассоциации Саудовская Аравия соглашение о свободной торговле Сирия соглашение об ассоциации Украина соглашение об ассоциации и расширенное соглашение о свободной торговле (решением Кабинета Министров Украины от 21.11.2013 переговоры приостановлены) Страны ССАГПЗ соглашение о свободной торговле Страны участницы Меркосур соглашение об ассоциации Страны участницы Центральноамериканского общего рынка соглашение об ассоциации Ещё один вариант соглашения об ассоциации с Евросоюзом, подразумевающий перспективу членства в этой организации - это договор, который был подписан между ЕС и Турцией. В 1963 году этой стране была предоставлена перспектива членства в ЕС, сейчас Турция является кандидатом на вступление в Евросоюз. Другой тип договорённостей, предоставляющий перспективу членства в ЕС - это так называемые европейские соглашения, которые были заключены между Брюсселем и странами Центральной и Восточной Европы, позднее вошедшими в Евросоюз во время последних расширений.",0
"есть дух, прошедший в своём развитии все стадии истории природы и общества и достигший завершённости в самосознании. Ведущее значение категория А. приобрела у Брэдли и др. сторонников абс. идеализма, отождествляющих её с идеей всеобщей гармонии или мирового целого, которое заключает в себе субъект и объект в нерасчленённой форме и познаётся непосредств. опытом. Брэдли отрицал личностный характер А.",0
"Трассирующие пули. Трассирующие пули нужны для корректировки огня. При выстреле запускается химическая реакция горения, которая позволяет пуле оставлять за собой световой след, вернее свет выделяется из задней части самой пули, а то, что видит человек, ни что иное как один из недостатков человеческого глаза, который кратковременно помнит положение предмета на несколько доль секунд, вот и получается, что видим не точку, а полосу света. Конструкция трассирующей пули в основном одинакова для всех видов боеприпасов: в задней части пули располагается стакан с пиротехническим веществом, которое в момент выстрела воспламеняется и дает заметное свечение в полете пули. Упаковка трассирующего вещества происходит в пулю многослойно, под давлением приближенным к давлению пороховых газов при выстреле. Нельзя не отметить, что трассирующая пуля по своей сути еще и зажигательная пуля, в случае попадания в легковоспламеняющуюся среду она с легкостью поджигает ее. Помимо того что трассирующая пуля должна оставлять за собой хорошо различимый световой след, она так же должна иметь максимально приближенную траекторию полета к боевой пуле.",-1
"Чтобы не расставаться со мной, практикуй гуру-йогу, И во всех явлениях ты увидишь Гуру. Нет лучшего способа преодолеть горечь встреч и расставаний. Слушай, очаровательная, пленительная госпожа, Пема Джюнгне живет для того, Чтобы отдавать себя другим. Его высшее, незапятнанное бытие, В котором все материальное приходит к своему завершению, Несравнимо с бытием обычных людей, Движимых дурной кармой. Я наполнил Тибет своими учениками и теми, Кто обрел сиддхи. Чтобы постичь непостоянство, практикуй махамудру, И ты увидишь, что мир явлений, сансара и нирвана изначально свободны по своей сути. Нет лучшего способа связать крылья кармы.",0
"25 26)[3]. Таким образом, болгары славяне, предки которых уже жили на Балканах. В Хронике ромейского поэта Константина Манасия одна из приписок болгарского переводчика утверждает, что во время царствования ромейского василевса Анастасия І (491 518) болгары переправились через Дунай в районе Видина, затем предприняли поход на юг, там начали брать под своё управление какой-то район. Хотя из его слов нельзя точно понять, какие именно территории завоевали болгары, ясно, что они охватывали нижнюю Охридскую землю. Заканчивается эта вставка фразой от исхода блъгаром 870 лет (возможен еще один вариант прочтения: от исхода блъгаром от 70 лет (Цит. по: Стара болгарска литература. Т. 3. Исторически сочинения.",0
"Таким поможет фирма, разрабатывающая электронное надгробие — eTomb. Это вполне себе реальный гаджет, который по желанию клиента можно будет выполнить в форме традиционного надгробия. На eTomb в режиме онлайн будет выводиться информация со страниц социальных сетей — фотографии, сообщения и прочее. Солнечные батареи снабдят надгробие электроэнергией, так что посетители кладбища смогут связаться с ним через Bluetooth и написать что-либо о покойном. Конечно, тут же найдётся множество так называемых троллей, которые будут оставлять не самые лестные отзывы об усопшем, в этом случае родным и близким умершего пользователя придётся регулярно его навещать, чтобы удалить негативные и бессмысленные комментарии. 4. Похороны в режиме онлайн Как правило, люди считают своим долгом присутствовать на похоронах близкого друга или члена семьи, а в некоторых случаях список обязательных гостей погребальной церемонии даже указывается в завещании.",-1
"Из летописей мы знаем только об одной Предславе. Такое имя носила жена Святослава. Значит, Святослав был женат уже в 945г? Сколько же ему было лет? Ведь, как уже было сказано выше, малолетних браков Русь не знала. Следовательно, не менее 15 лет. Правда, может перед нами какая-то другая Предслава. Но на столь значительный возраст Святослава ещё при жизни отца есть и ещё одно указание. Откроем сочинение Константина Багрянородного Об управлении империей.",0
"Шоссе с четными номерами проходили с запада на восток, а номера увеличивались с севера на юг. Нечетные номера получили шоссе, проходящие с севера на юг, а нумерация увеличивались с востока на запад. Все таблички стали бело-черными, а номера располагались в полицейской звезде. Шоссе стали пролегать по всей стране, превращаясь в городах в улицы, и имея несколько полос, расположенных на одном дорожном полотне.7. Для сравнения с 1901 годом, когда было лишь 1 200 км дорог хоть с каким-то покрытием, в 1938 году в США было закончено 448 000 км шоссе и улиц, в большинстве своем сделанные из бетона, а к 1941 году было построено уже 960 000 км дорог.8. Километраж дорог возрастал пропорционально небезопасности, с каждым годом дороги уносили все больше и больше жизней автолюбителей. Так, только в 1940 году, более 30 тыс. человек погибли в авариях. Макдональд не игнорировал этот факт.",-1
"Две мины упали на дом инвалидов, еще две - на жилые здания в квартале Масакен Барзе. Социальные сети мятежников сообщают о гибели в Сирии Абдуллы Мутлак аль-Мутлак отпрыска важного саудовского семейства. Абдулла родственник важных саудовских теологов, а его дядюшка -профессор сравнительной юриспруденции в университете Имама Мухаммеда бин Сауда. Абдулла был убит в понедельник в боях в районе города Изза, провинция Дераа. Он воевал на стороне группировки Исламское Государство Ирак и Сирия. Его отец, генерал-майор Абдулла аль-Мутлак аль-Досари глава союза офицеров саудовской национальной гвардии.",-1
